Глубина манометра [м],Dшт [мм],Руст: осредненные параметры  [бара],Рзаб [бара],Pлин [бара],Руст: На конец режима  [бар],Рзаб [бар],Рлин [бар],Туст [ С],Тна шлейфе [ С],Тзаб [ С],Tлин [ С],Дебит газа: Стандартные условия  [1000 м3/сут],Дебит ст. конд. [м3/сут],Дебит воды [м3/сут],Дебит смеси [1000 м3/сут],Дебит гааз: Линейные условия  [м3/сут],Дебит кон нестабильный [м3/сут],Дебит воды [м3/сут],Нэф [м],Рпл. Тек (послед точка на КВД) [МПа],Рпл. Тек (Расчет по КВД) [МПа],Рпл. Тек (Карноухов) [МПа],Pсб [ атм],Pсб [ бар],Ro_g [кг/м3],Ro_c [кг/м3],Ro_w [кг/м3],Удельная плотность газа  [б/р],G_total [кг/с],КГФ [г/м3]
1.0,0.133,0.14,0.29,0.106,0.132,0.273,0.091,0.211,0.199,0.204,0.005,0.212,0.293,0.116,0.229,0.242,0.288,0.128,0.549,0.5,0.435,0.631,0.138,0.138,0.04,0.237,,0.133,0.419,0.463
0.133,1.0,0.387,0.176,0.003,0.39,0.185,0.109,0.542,0.477,0.027,0.821,0.866,0.621,0.536,0.852,0.895,0.508,0.533,0.167,0.255,0.049,0.123,0.028,0.028,0.038,0.094,,0.194,0.736,0.157
0.14,0.387,1.0,0.922,0.296,0.999,0.942,0.136,0.108,0.278,0.279,0.136,0.068,0.307,0.099,0.098,0.069,0.307,0.106,0.209,0.254,0.131,0.185,0.174,0.174,0.583,0.109,,0.407,0.115,0.068
0.29,0.176,0.922,1.0,0.338,0.918,0.978,0.149,0.288,0.425,0.206,0.025,0.279,0.512,0.193,0.306,0.15,0.521,0.198,0.348,0.455,0.232,0.274,0.163,0.163,0.69,0.025,,0.541,0.283,0.188
0.106,0.003,0.296,0.338,1.0,0.302,0.32,0.583,0.059,0.204,0.344,0.392,0.163,0.203,0.141,0.204,0.042,0.231,0.147,0.013,0.124,0.001,0.018,0.177,0.177,0.699,0.057,,0.316,0.277,0.09
0.132,0.39,0.999,0.918,0.302,1.0,0.941,0.144,0.109,0.28,0.281,0.128,0.067,0.3,0.099,0.097,0.071,0.294,0.103,0.2,0.237,0.119,0.173,0.174,0.174,0.606,0.113,,0.409,0.125,0.053
0.273,0.185,0.942,0.978,0.32,0.941,1.0,0.136,0.242,0.417,0.241,0.003,0.283,0.503,0.162,0.31,0.152,0.517,0.167,0.32,0.435,0.193,0.297,0.108,0.108,0.631,0.047,,0.526,0.311,0.135
0.091,0.109,0.136,0.149,0.583,0.144,0.136,1.0,0.066,0.123,0.126,0.187,0.058,0.057,0.146,0.023,0.164,0.074,0.147,0.165,0.063,0.086,0.036,0.081,0.081,0.787,0.049,,0.158,0.313,0.02
0.211,0.542,0.108,0.288,0.059,0.109,0.242,0.066,1.0,0.691,0.107,0.61,0.657,0.538,0.554,0.683,0.657,0.435,0.551,0.343,0.175,0.121,0.142,0.474,0.474,0.862,0.198,,0.408,0.689,0.292
0.199,0.477,0.278,0.425,0.204,0.28,0.417,0.123,0.691,1.0,0.12,0.62,0.649,0.729,0.512,0.66,0.622,0.553,0.494,0.163,0.284,0.173,0.283,0.255,0.255,0.67,0.28,,0.357,0.69,0.242
0.204,0.027,0.279,0.206,0.344,0.281,0.241,0.126,0.107,0.12,1.0,0.121,0.066,0.056,0.095,0.073,0.044,0.073,0.096,0.028,0.119,0.231,0.099,0.4,0.4,0.3,0.139,,0.365,0.44,0.388
0.005,0.821,0.136,0.025,0.392,0.128,0.003,0.187,0.61,0.62,0.121,1.0,0.801,0.549,0.568,0.796,0.738,0.404,0.554,0.024,0.012,0.093,0.114,0.025,0.025,0.743,0.013,,0.375,0.699,0.003
0.212,0.866,0.068,0.279,0.163,0.067,0.283,0.058,0.657,0.649,0.066,0.801,1.0,0.837,0.642,0.999,0.954,0.712,0.639,0.291,0.346,0.091,0.186,0.067,0.067,0.351,0.07,,0.358,0.993,0.18
0.293,0.621,0.307,0.512,0.203,0.3,0.503,0.057,0.538,0.729,0.056,0.549,0.837,1.0,0.519,0.846,0.771,0.875,0.524,0.358,0.613,0.395,0.453,0.074,0.075,0.397,0.086,,0.347,0.966,0.435
0.116,0.536,0.099,0.193,0.141,0.099,0.162,0.146,0.554,0.512,0.095,0.568,0.642,0.519,1.0,0.625,0.616,0.392,0.975,0.104,0.022,0.163,0.087,0.318,0.318,0.536,0.042,,0.265,0.843,0.1
0.229,0.852,0.098,0.306,0.204,0.097,0.31,0.023,0.683,0.66,0.073,0.796,0.999,0.846,0.625,1.0,0.949,0.722,0.622,0.286,0.354,0.109,0.211,0.06,0.06,0.361,0.071,,0.361,0.996,0.216
0.242,0.895,0.069,0.15,0.042,0.071,0.152,0.164,0.657,0.622,0.044,0.738,0.954,0.771,0.616,0.949,1.0,0.657,0.619,0.281,0.371,0.067,0.172,0.125,0.125,0.15,0.201,,0.307,0.901,0.232
0.288,0.508,0.307,0.521,0.231,0.294,0.517,0.074,0.435,0.553,0.073,0.404,0.712,0.875,0.392,0.722,0.657,1.0,0.425,0.356,0.627,0.38,0.446,0.05,0.05,0.18,0.152,,0.282,0.75,0.409
0.128,0.533,0.106,0.198,0.147,0.103,0.167,0.147,0.551,0.494,0.096,0.554,0.639,0.524,0.975,0.622,0.619,0.425,1.0,0.108,0.041,0.16,0.076,0.308,0.308,0.504,0.094,,0.262,0.828,0.115
0.549,0.167,0.209,0.348,0.013,0.2,0.32,0.165,0.343,0.163,0.028,0.024,0.291,0.358,0.104,0.286,0.281,0.356,0.108,1.0,0.439,0.296,0.444,0.25,0.25,0.02,0.112,,0.08,0.45,0.309
0.5,0.255,0.254,0.455,0.124,0.237,0.435,0.063,0.175,0.284,0.119,0.012,0.346,0.613,0.022,0.354,0.371,0.627,0.041,0.439,1.0,0.619,0.797,0.062,0.062,0.784,0.104,,0.353,0.051,0.549
0.435,0.049,0.131,0.232,0.001,0.119,0.193,0.086,0.121,0.173,0.231,0.093,0.091,0.395,0.163,0.109,0.067,0.38,0.16,0.296,0.619,1.0,0.95,0.034,0.034,0.428,0.016,,0.177,0.083,0.533
0.631,0.123,0.185,0.274,0.018,0.173,0.297,0.036,0.142,0.283,0.099,0.114,0.186,0.453,0.087,0.211,0.172,0.446,0.076,0.444,0.797,0.95,1.0,0.139,0.138,0.831,0.005,,0.055,0.171,0.58
0.138,0.028,0.174,0.163,0.177,0.174,0.108,0.081,0.474,0.255,0.4,0.025,0.067,0.074,0.318,0.06,0.125,0.05,0.308,0.25,0.062,0.034,0.139,1.0,1.0,0.828,0.132,,0.027,0.114,0.297
0.138,0.028,0.174,0.163,0.177,0.174,0.108,0.081,0.474,0.255,0.4,0.025,0.067,0.075,0.318,0.06,0.125,0.05,0.308,0.25,0.062,0.034,0.138,1.0,1.0,0.828,0.132,,0.027,0.114,0.297
0.04,0.038,0.583,0.69,0.699,0.606,0.631,0.787,0.862,0.67,0.3,0.743,0.351,0.397,0.536,0.361,0.15,0.18,0.504,0.02,0.784,0.428,0.831,0.828,0.828,1.0,0.602,,1.0,0.4,0.082
0.237,0.094,0.109,0.025,0.057,0.113,0.047,0.049,0.198,0.28,0.139,0.013,0.07,0.086,0.042,0.071,0.201,0.152,0.094,0.112,0.104,0.016,0.005,0.132,0.132,0.602,1.0,,0.024,0.233,0.157
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.133,0.194,0.407,0.541,0.316,0.409,0.526,0.158,0.408,0.357,0.365,0.375,0.358,0.347,0.265,0.361,0.307,0.282,0.262,0.08,0.353,0.177,0.055,0.027,0.027,1.0,0.024,,1.0,0.401,0.007
0.419,0.736,0.115,0.283,0.277,0.125,0.311,0.313,0.689,0.69,0.44,0.699,0.993,0.966,0.843,0.996,0.901,0.75,0.828,0.45,0.051,0.083,0.171,0.114,0.114,0.4,0.233,,0.401,1.0,0.01
0.463,0.157,0.068,0.188,0.09,0.053,0.135,0.02,0.292,0.242,0.388,0.003,0.18,0.435,0.1,0.216,0.232,0.409,0.115,0.309,0.549,0.533,0.58,0.297,0.297,0.082,0.157,,0.007,0.01,1.0
