G_total [кг/с],КГФ [г/м3]
2.78,311.91
3.70,288.60
4.52,248.79
5.22,223.56
5.77,215.15
3.08,241.13
nan,188000.0
nan,178000.0
nan,169000.0
nan,162000.0
nan,230.0
nan,201000.0
nan,172000.0
nan,157000.0
nan,141000.0
nan,172000.0
4.23,385.42
4.71,295.50
5.73,255.68
5.78,233.96
5.76,223.11
5.25,199.63
4.25,245.68
3.72,294.59
5.17,282.24
8.40,280.56
9.64,292.24
10.93,284.08
9.33,289.18
6.42,287.52
4.59,254.84
5.83,243.23
7.28,219.04
nan,270.0
nan,251000.0
nan,236000.0
nan,217000.0
nan,200.0
nan,180.0
nan,169000.0
nan,160.0
nan,156000.0
nan,153000.0
nan,152000.0
nan,152000.0
nan,138000.0
nan,131000.0
nan,212000.0
nan,194000.0
nan,187000.0
nan,180.0
nan,198000.0
nan,174000.0
nan,171000.0
nan,165000.0
nan,162000.0
nan,140.0
nan,154000.0
nan,141000.0
nan,139000.0
nan,132000.0
nan,241000.0
nan,216000.0
nan,191000.0
nan,177000.0
nan,164000.0
nan,219000.0
nan,218000.0
nan,200.0
nan,161000.0
nan,157000.0
nan,154000.0
nan,180.0
nan,178000.0
nan,180.0
nan,224000.0
nan,199000.0
nan,201000.0
nan,191000.0
nan,192000.0
nan,222000.0
nan,212000.0
nan,204000.0
nan,198000.0
nan,186000.0
nan,201000.0
nan,182000.0
nan,165000.0
nan,153000.0
nan,147000.0
nan,182000.0
nan,145000.0
nan,139000.0
